,entity_id,trip_update_trip_trip_id,trip_update_trip_start_time,trip_update_trip_start_date,trip_update_trip_route_id,trip_update_trip_direction_id,trip_update_vehicle_id,trip_update_vehicle_label,trip_update_trip_schedule_relationship,feed_message
388,62248815,62248815,13:59:00,20240606,Blue,1,B-547CB6A0,0740,,trip_updates (2024-06-06 18:11:20.441111+00:00)
389,61946078,61946078,14:05:00,20240606,742,0,y1323,1323,,trip_updates (2024-06-06 18:11:20.441111+00:00)
390,61870658,61870658,13:58:00,20240606,109,1,y3132,3132,,trip_updates (2024-06-06 18:11:20.441111+00:00)
391,62145874,62145874,14:55:00,20240606,52,1,y1706,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
392,61392059,61392059,15:10:00,20240606,66,1,y1904,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
393,61870217,61870217,14:10:00,20240606,111,1,y3150,3150,,trip_updates (2024-06-06 18:11:20.441111+00:00)
394,ADDED-1581935230,ADDED-1581935230,13:20:23,20240606,Green-D,0,G-10151,3709-3887,ADDED,trip_updates (2024-06-06 18:11:20.441111+00:00)
395,61848577,61848577,14:23:00,20240606,71,0,y2035,2035,,trip_updates (2024-06-06 18:11:20.441111+00:00)
396,61391940,61391940,14:38:00,20240606,17,1,y1723,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
397,61391091,61391091,14:58:00,20240606,23,1,y1808,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
398,61946250,61946250,14:08:00,20240606,751,0,y1273,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
399,61392412,61392412,13:46:00,20240606,15,1,y1903,1903,,trip_updates (2024-06-06 18:11:20.441111+00:00)
400,62146172,62146172,14:23:00,20240606,32,0,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
401,62216422,62216422,14:35:00,20240606,429,1,y3323,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
402,61393222,61393222,14:56:00,20240606,17,0,y1757,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
403,62145515,62145515,14:30:00,20240606,35,0,y1660,1660,,trip_updates (2024-06-06 18:11:20.441111+00:00)
404,61394059,61394059,15:10:00,20240606,10,0,y3200,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
405,61945675,61945675,13:27:00,20240606,28,1,y1264,1264,,trip_updates (2024-06-06 18:11:20.441111+00:00)
406,61392604,61392604,14:29:00,20240606,23,0,y1864,1864,,trip_updates (2024-06-06 18:11:20.441111+00:00)
407,61946529,61946529,14:03:00,20240606,741,0,y1334,1334,,trip_updates (2024-06-06 18:11:20.441111+00:00)
408,61870355,61870355,14:54:00,20240606,89,1,y1994,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
409,61391551,61391551,14:15:00,20240606,9,1,y1844,1844,,trip_updates (2024-06-06 18:11:20.441111+00:00)
410,61945681,61945681,14:11:00,20240606,749,0,y1276,1276,,trip_updates (2024-06-06 18:11:20.441111+00:00)
411,61945767,61945767,14:34:00,20240606,749,1,y1276,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
412,61870739,61870739,14:35:00,20240606,104,1,y2072,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
413,62216624,62216624,13:45:00,20240606,450,0,y3303,3303,,trip_updates (2024-06-06 18:11:20.441111+00:00)
414,62145130,62145130,14:10:00,20240606,36,0,y1610,1610,,trip_updates (2024-06-06 18:11:20.441111+00:00)
415,61869386,61869386,13:45:00,20240606,108,1,y0846,0846,,trip_updates (2024-06-06 18:11:20.441111+00:00)
416,61392592,61392592,13:53:00,20240606,22,0,y1900,1900,,trip_updates (2024-06-06 18:11:20.441111+00:00)
417,61394224,61394224,14:46:00,20240606,57,1,y1897,1897,,trip_updates (2024-06-06 18:11:20.441111+00:00)
418,61392310_2,61392310_2,13:57:00,20240606,66,0,y1769,1769,,trip_updates (2024-06-06 18:11:20.441111+00:00)
419,61945596,61945596,15:08:00,20240606,28,0,y1254,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
420,61929292,61929292,13:40:00,20240606,236,0,y0830,0830,,trip_updates (2024-06-06 18:11:20.441111+00:00)
421,61848767,61848767,15:01:00,20240606,87,1,y1975,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
422,61850007,61850007,14:56:00,20240606,74,1,y1929,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
423,62144791,62144791,14:08:00,20240606,26,0,y1662,1662,,trip_updates (2024-06-06 18:11:20.441111+00:00)
424,61945925,61945925,13:38:00,20240606,39,0,y1208,1208,,trip_updates (2024-06-06 18:11:20.441111+00:00)
425,61849893,61849893,14:01:00,20240606,78,1,y1977,1977,,trip_updates (2024-06-06 18:11:20.441111+00:00)
426,61391230,61391230,13:47:00,20240606,708,1,y1825,1825,,trip_updates (2024-06-06 18:11:20.441111+00:00)
427,62248840,62248840,14:18:00,20240606,Blue,0,B-547CB6C3,0717,,trip_updates (2024-06-06 18:11:20.441111+00:00)
428,61946382,61946382,14:28:00,20240606,39,0,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
429,61871048,61871048,14:55:00,20240606,104,0,y1986,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
430,61319050,61319050,14:44:00,20240606,Red,0,R-547CB1A7,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
